adm1_altcode,oblast,exposure,vulnerability,coping,net_risk_decimal,risk_categorization
UA71,CHERKASY,4,3.88,2.25,3.17,B_Medium
UA74,CHERNIHIV,5,2.68,2.83,3.21,A_High
UA73,CHERNIVTSI,4,2.6,1.54,2.4,C_Low
UA12,DNIPROPETROVSK,3,3.52,3.43,3.38,A_High
UA14,DONETSK,4,2.7,3.87,3.49,A_High
UA26,IVANO-FRANKIVSK,4,2.36,2.25,2.64,C_Low
UA63,KHARKIV,5,3.5,4.47,4.24,A_High
UA65,KHERSON,2,2.98,3.6,3.06,B_Medium
UA68,KHMELNYTSKYI,4,2.8,1.57,2.49,C_Low
UA35,KIROVOHRAD,3,2.82,2.63,2.77,B_Medium
UA32,KYIVSKA,4,3.7,2.39,3.17,B_Medium
UA80,KYIV,4,2.88,2.47,2.92,B_Medium
UA44,LUHANSK,5,3,2.25,3.06,B_Medium
UA46,LVIV,3,2.68,2.25,2.55,C_Low
UA48,MYKOLAIV,3,2.84,3.04,2.96,B_Medium
UA51,ODESA,2,3.42,3.17,3.02,B_Medium
UA53,POLTAVA,4,3.56,1.97,2.93,B_Medium
UA56,RIVNE,4,1.64,2.04,2.29,C_Low
UA59,SUMY,5,3.02,3.3,3.54,A_High
UA61,TERNOPIL,3,3.62,1.82,2.69,C_Low
UA05,VINNYTSIA,3,3.74,2.25,2.92,B_Medium
UA07,VOLYN,3,1.82,1.89,2.09,C_Low
UA21,ZAKARPATTIA,4,3.28,1.82,2.77,B_Medium
UA23,ZAPORIZHZHIA,3,3.02,3.73,3.34,A_High
UA18,ZHYTOMYR,4,2.88,3.04,3.17,B_Medium